Identifier,Status,Marker,Grade,Maximum Grade,Marking workflow state (Release grades and feedback),Grade can be changed,Last modified (submission),Last modified (grade),Feedback comments
Participant 12965046,Submitted for grading - Marking completed,Dar'ya Klymenko,58,100,Marking completed,Yes,"Monday, 22 April 2024, 1:31 PM","Monday, 22 April 2024, 1:31 PM",
Participant 12895824,Submitted for grading - Not marked,Ryan Statton,88,100,Not marked,Yes,"Monday, 22 April 2024, 1:00 PM","Monday, 8 April 2024, 10:52 AM",
Participant 12895804,Submitted for grading - Marking completed,Dar'ya Klymenko,58,100,Marking completed,Yes,"Monday, 22 April 2024, 12:04 PM","Monday, 22 April 2024, 12:04 PM",
Participant 12895900,Submitted for grading - Marking completed,Dar'ya Klymenko,58,100,Marking completed,Yes,"Wednesday, 17 April 2024, 1:35 PM","Wednesday, 17 April 2024, 1:35 PM",
Participant 12895732,Submitted for grading - Not marked,Ryan Statton,55,100,Not marked,Yes,"Wednesday, 17 April 2024, 11:05 AM","Wednesday, 17 April 2024, 10:46 AM",
Participant 12895752,No submission - Not marked,Alvise Rogers,0,100,Not marked,Yes,-,-,
Participant 12895697,No submission - Not marked,Ryan Statton,0,100,Not marked,Yes,-,-,
Participant 12895709,No submission - Not marked,Prahlad Saldanha,0,100,Not marked,Yes,-,"Wednesday, 6 March 2024, 10:49 AM",
Participant 12895734,No submission - Not marked,Alvise Rogers,0,100,Not marked,Yes,-,-,
Participant 12895784,No submission - Not marked,Prahlad Saldanha,0,100,Not marked,Yes,-,"Wednesday, 6 March 2024, 10:49 AM",
Participant 12895790,No submission - Not marked,Alvise Rogers,0,100,Not marked,Yes,-,-,
Participant 12895829,No submission - Not marked,Louise Crichton,0,100,Not marked,Yes,-,-,
Participant 12895832,No submission - Not marked,Ryan Statton,0,100,Not marked,Yes,-,-,
Participant 12895836,No submission - Not marked,Despina Djama,0,100,Not marked,Yes,-,-,
Participant 12895874,No submission - Not marked,Despina Djama,0,100,Not marked,Yes,-,-,
Participant 12895879,No submission - Not marked,Nomiki Koutsoumpari,0,100,Not marked,Yes,-,-,
Participant 12895887,No submission - Not marked,Anna Caunt,0,100,Not marked,Yes,-,-,
Participant 12895926,No submission - Not marked,Dar'ya Klymenko,0,100,Not marked,Yes,-,-,
Participant 12895942,No submission - Not marked,Spencer Talbot,0,100,Not marked,Yes,-,-,
